,Training episodes,Loss
0,40,0.2364993667602539
1,80,0.2120343418121338
2,140,0.18253006896972657
3,180,0.15635017936706544
4,200,0.13486626009368896
5,240,0.11589591964263915
6,300,0.09909047161880492
7,340,0.08488860682919311
8,360,0.07315037883341063
9,380,0.06349211912965576
10,460,0.055398721072004636
11,480,0.04880294797653072
12,500,0.04364399097628684
13,600,0.03891630047374797
14,620,0.03495251936764584
15,640,0.03157151256442917
16,680,0.02874996761036597
17,780,0.02602864630661553
18,820,0.023772543967899847
19,880,0.02171636247725262
20,920,0.019947261763342012
21,960,0.018443949661833277
22,980,0.017186179035649483
23,1020,0.01723680629233184
24,1060,0.01721323095877697
25,1080,0.017132228558220306
26,1140,0.016923167900210888
27,1160,0.01667151395159266
28,1240,0.016207978754657917
29,1280,0.015720276379123065
30,1300,0.015283728713619497
31,1340,0.014819708247842619
32,1360,0.014509655539085252
33,1380,0.014259220603219495
34,1400,0.014057453825562656
35,1420,0.013870525800776053
36,1480,0.0136121739098164
37,1520,0.01336535081455966
38,1560,0.0130770009771177
39,1600,0.012066210986390815
40,1660,0.010463486696255292
41,1680,0.010799514838037559
42,1720,0.010205989390991266
43,1740,0.010459678101843305
44,1780,0.010668260994200474
45,1820,0.010869573070720485
46,1880,0.01098692823578171
47,1920,0.011088626536760744
48,1940,0.010289287092712733
49,1960,0.009639145352385213
50,2000,0.00913197880422415
51,2020,0.010505378289503587
52,2040,0.010107810531840906
53,2060,0.011290854958523262
54,2100,0.011162725089255133
55,2120,0.010302922485878593
56,2160,0.01129981307872973
57,2180,0.011319314946244892
58,2260,0.01057502922178168
59,2340,0.011488394234664112
60,2360,0.011614962175756192
61,2400,0.010679646814083652
62,2420,0.009780409045390763
63,2440,0.009337211853164417
64,2460,0.009593020682253824
65,2480,0.009837073329860675
66,2500,0.010828419402261343
67,2540,0.011589142382160637
68,2580,0.012225124120724847
69,2600,0.010279421263943236
70,2660,0.010327409787186083
71,2680,0.009574898706442592
72,2720,0.009126896203809163
73,2760,0.00943731207947189
74,2800,0.008110599551997617
75,2820,0.009243892935436595
76,2840,0.008719666526732148
77,2880,0.00888979572138572
78,2920,0.008219295645406915
79,2940,0.0077618318038392645
80,2960,0.007671642004427002
81,3020,0.0066717257491562265
82,3060,0.007912672709768096
83,3080,0.008777820548490746
84,3120,0.009673194949687372
85,3140,0.0101285112419612
86,3160,0.009423716467133109
87,3200,0.009190937838165715
88,3240,0.008509971468614543
89,3260,0.00861615571893613
90,3320,0.00801933994704374
91,3340,0.008724980281304426
92,3380,0.007696791471251732
93,3460,0.00837182202435246
94,3540,0.008440693803602146
95,3560,0.007273086399216403
96,3680,0.006847372126880446
97,3800,0.006485740957501061
98,3820,0.006888913009836298
99,3840,0.006968656972467123
100,3920,0.006235353625153874
101,3980,0.006430450778274039
102,4000,0.006618823847030241
103,4060,0.007382254712466112
104,4080,0.007398274272826282
105,4100,0.007035368347284769
106,4140,0.007553118558023432
107,4160,0.00700155789954985
108,4240,0.007807655297148425
109,4260,0.007850662678423086
110,4280,0.007815231966926703
111,4300,0.007124262800180156
112,4320,0.008010493080109945
113,4340,0.00725582159383344
114,4360,0.00681142454801597
115,4400,0.006912056489456477
116,4420,0.006399935709372188
117,4440,0.00610935652409794
118,4460,0.005951976729669588
119,4500,0.006521365128547682
120,4540,0.00570759499676286
121,4580,0.005701752262173166
122,4620,0.005039013083265678
123,4660,0.004929110809553827
124,4680,0.005468716227522822
125,4720,0.005560894889443184
126,4740,0.005424011336015912
127,4760,0.005315122295417191
128,4800,0.00524892734606886
129,4820,0.005449913757004929
130,4840,0.005346510066158447
131,4880,0.005638132535272338
132,4940,0.005155192011875707
133,5000,0.004884060080276169
134,5040,0.005743979498089343
135,5060,0.006466564046812844
136,5080,0.006007741119442615
137,5100,0.006492571374557998
138,5120,0.0063997986243427485
139,5140,0.006300202554564531
140,5160,0.006533089356502576
141,5180,0.006652770461146581
142,5220,0.006268848456147947
143,5240,0.006510952216151267
144,5280,0.006079928121378351
145,5340,0.005741423242418233
146,5360,0.0052416432683692485
147,5400,0.005058812859457819
148,5440,0.004430132438979219
149,5460,0.005062502924793299
150,5500,0.004576391938681075
151,5520,0.00451302479772144
152,5540,0.004373807697044797
153,5580,0.004259813796319157
154,5640,0.0038325275745690586
155,5660,0.003959551415181218
156,5720,0.004670721857814835
157,5740,0.0045458957903137575
158,5760,0.004149065403346282
159,5800,0.0044834035143884515
160,5860,0.005042204698374469
161,5880,0.0048641542120381985
162,5900,0.004782835405954106
163,5980,0.004268972495705591
164,6020,0.004074290569234456
165,6060,0.004334037205067131
166,6080,0.004997119586059929
167,6100,0.004703934773118879
168,6120,0.005190988051344224
169,6140,0.004646104647675568
170,6180,0.005117636977799268
171,6200,0.005183770822817112
172,6220,0.005478268279500028
173,6280,0.005601438890987413
174,6300,0.0051002447097252025
175,6320,0.005159319264789439
176,6400,0.00494297319499653
177,6440,0.004513458322270723
178,6460,0.004497310050951649
179,6500,0.0043940846750157745
180,6520,0.004374154697181199
181,6540,0.004205499919511011
182,6560,0.0038164686220940997
183,6580,0.003694929286484484
184,6600,0.0034236953196085007
185,6620,0.003565190000308077
186,6640,0.004457287083445009
187,6680,0.004646116884849879
188,6700,0.004593400074881246
189,6720,0.004620313059363309
190,6760,0.0045318654267577675
191,6800,0.00402906734455334
192,6820,0.004014388233095064
193,6840,0.0038690937635657424
194,6860,0.004249925699023981
195,6880,0.004254718789409462
196,6900,0.004181413347682049
197,6940,0.004078918333976023
198,7080,0.004085331329606813
199,7100,0.003861244673651729
200,7140,0.003709768577513912
201,7160,0.0034357676200849367
202,7200,0.0036275131935105762
203,7240,0.0036188209004581803
204,7260,0.003437826688876218
205,7300,0.0033880778398438028
206,7400,0.004212737500375408
207,7440,0.004440583562617221
208,7480,0.004367655794433529
209,7520,0.004781514867633004
210,7560,0.00431928170878841
211,7600,0.0043891846987339144
212,7640,0.004065740454414072
213,7660,0.004564148583585884
214,7680,0.004200360853334161
215,7780,0.0038759862811246657
216,7800,0.0036406277561886425
217,7820,0.0034424813147150134
218,7860,0.0036014931842297438
219,7880,0.0034211472427535155
220,7940,0.004008243144010552
221,8000,0.003942659843329627
222,8060,0.0038768730547937063
223,8120,0.00359342252110738
224,8140,0.003287133583587793
225,8180,0.004077003963122675
226,8200,0.003899735861881502
227,8260,0.0035909051429143966
228,8280,0.003422926662835393
229,8300,0.004308777807929447
230,8320,0.00394424785874552
231,8420,0.0039205484763961355
232,8440,0.0037713156283840595
233,8460,0.003906506867483859
234,8520,0.003661187804759029
235,8540,0.003505566411829379
236,8560,0.003945814604454348
237,8580,0.004756891437286623
238,8620,0.00466687524947682
