,Training episodes,Reward
237,4760,-6983.602687463358
238,4780,-6981.763399970686
239,4800,-6980.314938726549
240,4820,-6977.70804473124
241,4840,-6976.493623284992
242,4860,-6975.462398627994
243,4880,-6974.598825152395
244,4900,-6973.3285913719155
245,4920,-6973.508810597532
246,4940,-6973.559392228025
247,4960,-6971.5454825324205
248,4980,-6969.089042275937
249,5000,-6965.151077570749
250,5020,-6960.463987056599
251,5040,-6956.671658395279
252,5060,-6953.263732966224
253,5080,-6951.258798872979
254,5100,-6946.984539098384
255,5120,-6942.1362250287075
256,5140,-6938.509292522966
257,5160,-6934.898527768373
258,5180,-6930.875228464698
259,5200,-6928.263307771758
260,5220,-6926.222208717407
261,5240,-6924.812610723926
262,5260,-6923.769151079141
263,5280,-6926.940320863312
264,5300,-6930.33694419065
265,5320,-6930.187680352519
266,5340,-6927.925300532015
267,5360,-6928.863677925612
268,5380,-6929.80562984049
269,5400,-6932.897785122392
270,5420,-6934.7654155979135
271,5440,-6935.781082478331
272,5460,-6935.598459732665
273,5480,-6932.846736536132
274,5500,-6928.756451728906
275,5520,-6923.648442633124
276,5540,-6919.8471916065
277,5560,-6915.9486907852
278,5580,-6916.28129637816
279,5600,-6917.063318352528
280,5620,-6917.293154682023
281,5640,-6918.428117495619
282,5660,-6916.407025246494
283,5680,-6916.925776447195
284,5700,-6916.438433657756
285,5720,-6911.863246926205
286,5740,-6908.481847540964
287,5760,-6904.345478032771
288,5780,-6899.825601176217
289,5800,-6895.950637190973
290,5820,-6892.028166002779
291,5840,-6891.019876552223
292,5860,-6890.174182491778
293,5880,-6890.900595993422
294,5900,-6892.763914294737
295,5920,-6892.1892564357895
296,5940,-6888.403748898632
297,5960,-6885.6715928689055
298,5980,-6882.986180545125
299,6000,-6882.0636319361
300,6020,-6882.23153054888
301,6040,-6883.520536939104
302,6060,-6882.631585801283
303,6080,-6881.850893641026
304,6100,-6880.22415241282
305,6120,-6878.736665680256
306,6140,-6880.355270044205
307,6160,-6879.998591035364
308,6180,-6881.707779078291
309,6200,-6880.583879512634
310,6220,-6879.766322360107
311,6240,-6878.499776638086
312,6260,-6879.594196310469
313,6280,-6880.710825798375
314,6300,-6881.755691888699
315,6320,-6884.737053510959
316,6340,-6887.834799058768
317,6360,-6888.132370497015
318,6380,-6890.112927647611
319,6400,-6894.327217118089
320,6420,-6898.077711194471
321,6440,-6899.356231455577
322,6460,-6902.436703914461
323,6480,-6905.899363131569
324,6500,-6908.021053005255
325,6520,-6909.576842404204
326,6540,-6907.701786423364
327,6560,-6907.212366638691
328,6580,-6906.130049560953
329,6600,-6905.489508398762
330,6620,-6907.37520046901
331,6640,-6912.828285375208
332,6660,-6916.273409550166
333,6680,-6921.9548213901335
334,6700,-6923.992138362107
335,6720,-6924.582929439685
336,6740,-6924.166187301748
337,6760,-6923.393418591399
338,6780,-6924.465828623119
339,6800,-6923.324537898496
340,6820,-6922.584630318797
341,6840,-6921.097235505038
342,6860,-6923.1868509040305
343,6880,-6924.839168223224
344,6900,-6927.18852207858
345,6920,-6929.688473912864
346,6940,-6931.176091630291
347,6960,-6928.874623304233
348,6980,-6925.370323643387
349,7000,-6922.99407141471
350,7020,-6921.535257131767
351,7040,-6918.743674455414
352,7060,-6922.987908314331
353,7080,-6925.899232901465
354,7100,-6930.752667571172
355,7120,-6939.7504153069385
356,7140,-6939.921269745551
357,7160,-6941.133422046441
358,7180,-6942.843925137153
359,7200,-6944.558890109723
360,7220,-6942.004924587778
361,7240,-6945.817377170222
362,7260,-6949.420932986178
363,7280,-6950.569871388942
364,7300,-6951.7369908611545
365,7320,-6955.299123938923
366,7340,-6961.286017901139
367,7360,-6963.6533455709105
368,7380,-6962.998457706728
369,7400,-6966.194859915382
370,7420,-6979.831200432305
371,7440,-6989.780585345844
372,7460,-7008.076812026675
373,7480,-7019.03176212134
374,7500,-7026.1575971970715
375,7520,-7034.963421507657
376,7540,-7045.090112206126
377,7560,-7067.7120897649
378,7580,-7087.31889056192
379,7600,-7108.6366749495355
380,7620,-7141.186371209628
381,7640,-7180.013471967703
382,7660,-7209.331402574162
383,7680,-7232.539028309329
384,7700,-7254.564035147463
385,7720,-7270.128571867971
386,7740,-7284.4172324943775
387,7760,-7306.403160995502
388,7780,-7332.195185046401
389,7800,-7346.846929287121
390,7820,-7394.512230929697
391,7840,-7476.4708784937575
392,7860,-7552.830921545006
393,7880,-7641.892549736005
394,7900,-7696.701852288804
395,7920,-7758.530231831043
396,7940,-7863.892466714835
397,7960,-7947.8944421218675
398,7980,-8060.705553697495
399,8000,-8160.260536707996
400,8020,-8261.684523116397
401,8040,-8391.256680993118
402,8060,-8522.558001044494
403,8080,-8672.057494585595
404,8100,-8820.641933168476
405,8120,-8998.741984034781
406,8140,-9156.946712227826
407,8160,-9323.25643228226
408,8180,-9484.882333325808
409,8200,-9681.272272910646
410,8220,-9861.793287078517
411,8240,-10032.499160912814
412,8260,-10182.143859980251
413,8280,-10338.2329004842
414,8300,-10486.20163288736
415,8320,-10635.852243809888
416,8340,-10767.275701297911
417,8360,-10894.494936038329
418,8380,-11007.535948830664
419,8400,-11120.41875906453
420,8420,-11227.543444751624
421,8440,-11336.7594433013
422,8460,-11441.55349214104
423,8480,-11530.100449962832
424,8500,-11615.343484970266
425,8520,-11689.662444226213
426,8540,-11759.05761163097
427,8560,-11821.700308054775
428,8580,-11884.78571519382
429,8600,-11942.936540905055
430,8620,-11992.853763974043
431,8640,-12043.074886179233
432,8660,-12088.703502693386
433,8680,-12130.501239654708
434,8700,-12169.321147973766
435,8720,-12205.135199629014
436,8740,-12235.38190970321
437,8760,-12261.744746512568
438,8780,-12283.531109710053
439,8800,-12302.145356518044
440,8820,-12319.037378964435
441,8840,-12332.860371921548
442,8860,-12344.930172537239
443,8880,-12356.735856779791
444,8900,-12366.180404173832
445,8920,-12373.736042089065
446,8940,-12380.381333671254
447,8960,-12386.206160687003
448,8980,-12390.866022299602
449,9000,-12394.593911589682
450,9020,-12397.576223021744
451,9040,-12399.962072167395
452,9060,-12402.545282733916
453,9080,-12404.611851187134
454,9100,-12406.265105949708
455,9120,-12407.587709759766
456,9140,-12408.645792807813
457,9160,-12409.49225924625
458,9180,-12410.169432397
459,9200,-12410.7111709176
460,9220,-12411.144561734081
461,9240,-12411.491274387265
462,9260,-12411.768644509812
463,9280,-12411.990540607849
464,9300,-12412.168057486278
465,9320,-12412.310070989022
466,9340,-12412.423681791219
467,9360,-12412.514570432975
468,9380,-12412.587281346381
469,9400,-12412.645450077105
470,9420,-12412.691985061685
471,9440,-12412.729213049348
472,9460,-12412.758995439479
473,9480,-12412.782821351584
474,9500,-12412.801882081267
475,9520,-12412.817130665013
476,9540,-12412.82932953201
477,9560,-12412.83908862561
478,9580,-12412.846895900488
479,9600,-12412.85314172039
480,9620,-12412.858138376312
481,9640,-12412.86213570105
482,9660,-12412.865333560841
483,9680,-12412.867891848673
484,9700,-12412.869938478938
485,9720,-12412.87157578315
486,9740,-12412.87288562652
487,9760,-12412.873933501216
488,9780,-12412.874771800973
489,9800,-12412.875442440778
490,9820,-12412.875978952623
491,9840,-12412.8764081621
492,9860,-12412.87675152968
493,9880,-12412.877026223745
494,9900,-12412.877245978996
495,9920,-12412.877421783198
496,9940,-12412.877562426558
497,9960,-12412.877674941246
498,9980,-12412.877764952997
499,10000,-12412.877836962398
500,10020,-12412.877894569918
501,10040,-12412.877940655935
502,10060,-12412.877977524748
503,10080,-12412.878007019799
504,10100,-12412.878030615839
505,10120,-12412.87804949267
506,10140,-12412.878064594137
507,10160,-12412.87807667531
508,10180,-12412.878086340248
509,10200,-12412.878094072199
510,10220,-12412.87810025776
511,10240,-12412.878105206208
512,10260,-12412.878109164967
513,10280,-12412.878112331973
514,10300,-12412.878114865578
515,10320,-12412.878116892463
516,10340,-12412.87811851397
517,10360,-12412.878119811177
518,10380,-12412.878120848942
519,10400,-12412.878121679154
520,10420,-12412.878122343323
521,10440,-12412.87812287466
522,10460,-12412.878123299728
523,10480,-12412.878123639783
524,10500,-12412.878123911827
525,10520,-12412.878124129462
526,10540,-12412.87812430357
527,10560,-12412.878124442856
528,10580,-12412.878124554285
529,10600,-12412.878124643428
530,10620,-12412.878124714744
531,10640,-12412.878124771794
532,10660,-12412.878124817436
533,10680,-12412.878124853949
534,10700,-12412.87812488316
535,10720,-12412.878124906529
536,10740,-12412.878124925222
537,10760,-12412.878124940178
538,10780,-12412.878124952143
539,10800,-12412.878124961715
540,10820,-12412.878124969373
541,10840,-12412.8781249755
542,10860,-12412.8781249804
543,10880,-12412.87812498432
544,10900,-12412.878124987456
545,10920,-12412.878124989964
546,10940,-12412.878124991972
547,10960,-12412.878124993578
548,10980,-12412.878124994862
549,11000,-12412.87812499589
550,11020,-12412.878124996712
551,11040,-12412.87812499737
552,11060,-12412.878124997897
553,11080,-12412.878124998317
554,11100,-12412.878124998653
555,11120,-12412.878124998922
556,11140,-12412.878124999139
557,11160,-12412.878124999312
558,11180,-12412.87812499945
559,11200,-12412.87812499956
560,11220,-12412.878124999648
561,11240,-12412.87812499972
562,11260,-12412.878124999776
563,11280,-12412.878124999821
564,11300,-12412.878124999857
565,11320,-12412.878124999886
566,11340,-12412.87812499991
567,11360,-12412.878124999928
568,11380,-12412.878124999943
569,11400,-12412.878124999954
570,11420,-12412.878124999963
571,11440,-12412.87812499997
572,11460,-12412.878124999976
573,11480,-12412.878124999981
