,Training episodes,Reward
0,20,-11259.688920454546
1,40,-11261.523579545454
2,60,-11261.590738636361
3,80,-11259.154267045453
4,100,-11256.09116931818
5,120,-11242.91966840909
6,140,-11193.741842681817
7,160,-11097.279695736363
8,180,-10917.46253499818
9,200,-10735.882954134908
10,220,-10552.577101944291
11,240,-10384.384124737251
12,260,-10208.905027062527
13,280,-9984.463226195476
14,300,-9710.423421865471
15,320,-9412.569703401467
16,340,-9054.948944539356
17,360,-8663.782309040575
18,380,-8266.983943823368
19,400,-7875.258177785968
20,420,-7539.231400183319
21,440,-7262.141086055746
22,460,-7037.940709753688
23,480,-6853.028420075678
24,500,-6706.62955424236
25,520,-6588.009751348434
26,540,-6494.096295396929
27,560,-6417.311695408453
28,580,-6356.881458599489
29,600,-6308.894939606864
30,620,-6270.736690321854
31,640,-6238.781823848393
32,660,-6213.462106805988
33,680,-6193.043407035699
34,700,-6176.773788128559
35,720,-6161.811075957393
36,740,-6148.754258493187
37,760,-6137.485367021823
38,780,-6131.4327538447305
39,800,-6125.255578075785
40,820,-6122.635570415173
41,840,-6119.942973377592
42,860,-6118.364605974801
43,880,-6117.567395007114
44,900,-6116.278063732964
45,920,-6114.081257804553
46,940,-6111.160318743643
47,960,-6110.146720904006
48,980,-6109.5578596777505
49,1000,-6108.28875933311
50,1020,-6107.362257466488
51,1040,-6108.506425291372
52,1060,-6108.530566369461
53,1080,-6108.400589459205
54,1100,-6107.731977249182
55,1120,-6107.503905662981
56,1140,-6107.168181348567
57,1160,-6107.11693144249
58,1180,-6105.690136063083
59,1200,-6105.265177032285
60,1220,-6104.3909768531
61,1240,-6104.924429209753
62,1260,-6102.981162685985
63,1280,-6104.043452876061
64,1300,-6103.1358986644855
65,1320,-6102.906304158861
66,1340,-6102.221634236179
67,1360,-6101.626313070761
68,1380,-6102.254601592973
69,1400,-6100.871436956197
70,1420,-6099.858371155867
71,1440,-6099.153316242875
72,1460,-6098.665550721573
73,1480,-6099.968378077258
74,1500,-6099.754247916352
75,1520,-6099.189193787626
76,1540,-6096.206184575556
77,1560,-6094.679578342263
78,1580,-6094.55332176472
79,1600,-6095.278736957231
80,1620,-6095.3860577476025
81,1640,-6096.27219847081
82,1660,-6095.167900822102
83,1680,-6094.325371794044
84,1700,-6093.092825844326
85,1720,-6091.546561811825
86,1740,-6090.40443694946
87,1760,-6089.38207228684
88,1780,-6088.858214647654
89,1800,-6089.252054672668
90,1820,-6091.503206238135
91,1840,-6090.788786581417
92,1860,-6092.123784946953
93,1880,-6093.546329093925
94,1900,-6093.376978047867
95,1920,-6093.273031301929
96,1940,-6094.234902314271
97,1960,-6094.285507078689
98,1980,-6094.491047708406
99,2000,-6094.276644984906
100,2020,-6093.095889851561
101,2040,-6093.190206199431
102,2060,-6093.2568524595445
103,2080,-6093.596959240363
104,2100,-6093.21350489229
105,2120,-6092.460008459287
106,2140,-6092.439739721975
107,2160,-6092.830342913943
108,2180,-6093.747512967518
109,2200,-6094.176135374014
110,2220,-6096.562925344666
111,2240,-6096.59338004846
112,2260,-6098.4494199478595
113,2280,-6099.915643912833
114,2300,-6100.718310584812
115,2320,-6100.2098757405765
116,2340,-6099.116054001553
117,2360,-6098.220115928515
118,2380,-6097.443138197357
119,2400,-6097.033203739704
120,2420,-6097.377841400854
121,2440,-6097.917756075229
122,2460,-6097.7084946329105
123,2480,-6097.625460479056
124,2500,-6096.2820445196085
125,2520,-6096.110010615686
126,2540,-6096.829059628913
127,2560,-6098.482423839493
128,2580,-6098.890910662503
129,2600,-6098.263154666366
130,2620,-6098.912796460366
131,2640,-6098.8080780773835
132,2660,-6098.233536325543
133,2680,-6098.872908605889
134,2700,-6097.637105293802
135,2720,-6096.872610371405
136,2740,-6096.472378069851
137,2760,-6096.247930864972
138,2780,-6094.328600373796
139,2800,-6094.455920071763
140,2820,-6092.165446284683
141,2840,-6089.173550209564
142,2860,-6086.056169713106
143,2880,-6085.0581459977575
144,2900,-6083.7659770254795
145,2920,-6084.95454298402
146,2940,-6084.739628705398
147,2960,-6084.966845009772
148,2980,-6089.378873735091
149,3000,-6091.146848988072
150,3020,-6091.970036008639
151,3040,-6092.264949261456
152,3060,-6094.119345772801
153,3080,-6095.911243663695
154,3100,-6095.892489249138
155,3120,-6097.35930389931
156,3140,-6097.015568119448
157,3160,-6097.134471541013
158,3180,-6097.32973632372
159,3200,-6098.156828831703
160,3220,-6097.990946019908
161,3240,-6098.25071136138
162,3260,-6098.699716816377
163,3280,-6098.220852998556
164,3300,-6097.518301717027
165,3320,-6099.287510691803
166,3340,-6100.76026423526
167,3360,-6101.2800863882085
168,3380,-6101.500063428749
169,3400,-6100.224624606635
170,3420,-6099.612654230763
171,3440,-6098.917112020974
172,3460,-6099.42246802587
173,3480,-6098.976468738878
174,3500,-6100.840407945647
175,3520,-6099.957979765608
176,3540,-6100.172065630668
177,3560,-6099.573590004534
178,3580,-6100.092962912718
179,3600,-6100.817268057446
180,3620,-6101.175547400502
181,3640,-6101.413449284038
182,3660,-6100.5728048817755
183,3680,-6100.673158678147
184,3700,-6099.626311033427
185,3720,-6098.979884054014
186,3740,-6098.5868901977565
187,3760,-6099.83968261275
188,3780,-6100.030126772018
189,3800,-6100.055635508523
190,3820,-6099.037406134092
191,3840,-6098.8259476345465
192,3860,-6097.156212653092
193,3880,-6095.479089440655
194,3900,-6094.705714734342
195,3920,-6096.0871570147465
196,3940,-6094.968021066343
197,3960,-6094.145297534892
198,3980,-6094.148766437004
199,4000,-6094.005802922331
200,4020,-6094.219273019683
201,4040,-6095.313344552111
202,4060,-6096.5636017780525
203,4080,-6098.160256422441
204,4100,-6099.451784683408
205,4120,-6100.199637973999
206,4140,-6101.6112728791995
207,4160,-6102.817569439723
208,4180,-6102.765135097234
209,4200,-6103.443926259605
210,4220,-6104.013947825865
211,4240,-6102.824510533419
212,4260,-6101.892420926735
213,4280,-6102.346607195934
214,4300,-6101.612513029474
