,Training episodes,Reward
0,200,-11249.362926136364
1,400,-11250.185795454545
2,600,-11197.675340909089
3,800,-11143.874505681815
4,1000,-10172.168354545453
5,1200,-9378.27303590909
6,1400,-8738.21090031818
7,1600,-8219.954089572726
8,1800,-7804.038413703635
9,2000,-7467.244367326544
10,2200,-7196.338107497599
11,2400,-6978.680713270806
12,2600,-6804.197269480282
13,2800,-6665.928838311498
14,3000,-6556.138099058289
15,3200,-6468.050678110268
16,3400,-6398.154320897305
17,3600,-6342.225019217844
18,3800,-6297.693083556093
19,4000,-6263.05119979942
20,4200,-6233.710420066808
21,4400,-6210.973023553447
22,4600,-6193.507964297303
23,4800,-6179.016314619661
24,5000,-6164.667597150275
25,5200,-6155.092884538401
26,5400,-6148.866068994358
27,5600,-6142.48703133185
28,5800,-6135.865477338207
29,6000,-6132.0063023251105
30,6200,-6128.540269132816
31,6400,-6128.405936897162
32,6600,-6128.396766563184
33,6800,-6132.194543932366
34,7000,-6133.361032873166
35,7200,-6131.46155357126
36,7400,-6130.491117857008
37,7600,-6132.875422694697
38,7800,-6132.149627928484
39,8000,-6129.03760007006
40,8200,-6133.3346255105935
41,8400,-6131.498240181202
42,8600,-6133.5468875995075
43,8800,-6128.781828261424
44,9000,-6128.487110336413
45,9200,-6125.603040541857
46,9400,-6125.104591524395
47,9600,-6124.256258446789
48,9800,-6119.459694257431
49,10000,-6118.673579269581
50,10200,-6116.567272506573
51,10400,-6112.706090732531
52,10600,-6110.744844176934
53,10800,-6110.098006023365
54,11000,-6109.2176093641465
55,11200,-6105.114002264045
56,11400,-6102.964071129418
57,11600,-6104.837734176261
58,11800,-6105.1245907501
59,12000,-6104.697968054626
60,12200,-6107.978828989155
61,12400,-6113.60294955496
62,12600,-6113.206791462149
63,12800,-6113.090859306083
64,13000,-6113.961323808503
65,13200,-6113.006843137711
66,13400,-6119.014423373806
67,13600,-6118.111538699044
68,13800,-6115.995196868325
69,14000,-6113.980816585569
70,14200,-6119.674710086638
71,14400,-6119.404966932946
72,14600,-6116.053519000902
73,14800,-6112.449491337085
74,15000,-6109.308314660578
