,Training episodes,Reward
187,37600,-7117.821466658555
188,37800,-7114.313267076845
189,38000,-7110.572332411476
190,38200,-7107.875053429181
191,38400,-7106.170980243345
192,38600,-7106.7820966946765
193,38800,-7103.988021105742
194,39000,-7099.457916884594
195,39200,-7094.786646007675
196,39400,-7087.30181680614
197,39600,-7084.257078444912
198,39800,-7081.434256505929
199,40000,-7081.3467802047435
200,40200,-7081.899767913796
201,40400,-7078.751220581037
202,40600,-7074.38738271483
203,40800,-7071.938656171865
204,41000,-7068.501237437491
205,41200,-7061.204427449993
206,41400,-7054.011510709994
207,41600,-7051.149364817995
208,41800,-7047.131991854396
209,42000,-7041.534187233517
210,42200,-7036.360474786813
211,42400,-7031.509317329451
212,42600,-7026.645110113561
213,42800,-7023.298744340849
214,43000,-7021.226182972679
215,43200,-7020.738915128144
216,43400,-7020.953944602516
217,43600,-7016.786124432012
218,43800,-7012.1646807956095
219,44000,-7008.975025886488
220,44200,-7005.7322082091905
221,44400,-7003.184204067353
222,44600,-7000.662832003882
223,44800,-6999.727453103105
224,45000,-6995.138524982483
225,45200,-6994.616757485987
226,45400,-6994.4332497387895
227,45600,-6992.567068541032
228,45800,-6992.962248582826
229,46000,-6993.55292386626
230,46200,-6991.962495343008
231,46400,-6988.917027524407
232,46600,-6983.410340769526
233,46800,-6979.163897615621
234,47000,-6978.710180592498
235,47200,-6978.405175723998
236,47400,-6982.188515579198
237,47600,-6983.602687463358
238,47800,-6981.763399970686
239,48000,-6980.314938726549
240,48200,-6977.70804473124
241,48400,-6976.493623284992
242,48600,-6975.462398627994
243,48800,-6974.598825152395
244,49000,-6973.3285913719155
245,49200,-6973.508810597532
246,49400,-6973.559392228025
247,49600,-6971.5454825324205
248,49800,-6969.089042275937
249,50000,-6965.151077570749
250,50200,-6960.463987056599
251,50400,-6956.671658395279
252,50600,-6953.263732966224
253,50800,-6951.258798872979
254,51000,-6946.984539098384
255,51200,-6942.1362250287075
256,51400,-6938.509292522966
257,51600,-6934.898527768373
258,51800,-6930.875228464698
259,52000,-6928.263307771758
260,52200,-6926.222208717407
